repository,trigger,local_loader,mid_tier,final_c2,evidence_state,current_state,notes
TarsAI-net/AgentMesh,TRIG-VSCODE-FOLDEROPEN,LOCAL-SHELL-FETCHER,MID-REMOTE-CHAIN,C2-1224,PROVEN,ACTIVE,ip-vm stagers -> bootstrap/env -> 51.210.52.212:1224
TarsAI-com/AgentMesh,TRIG-VSCODE-FOLDEROPEN,LOCAL-SHELL-FETCHER,MID-REMOTE-CHAIN,C2-1224,PROVEN,ACTIVE,same current AgentMesh chain
anshul-ind/MetaPlay-V2,TRIG-APP-START-IMPORT,LOCAL-JS-NETWORK-LOADER,MID-HTTP-STAGE,C2-1224,PROVEN,ACTIVE,gamboracle -> 51.210.52.212:1224
RealJDEX/BrickFi,TRIG-APP-START-IMPORT,LOCAL-JS-NETWORK-LOADER,MID-HTTP-STAGE,C2-808X,PROVEN,ACTIVE,ip-checkout -> 144.172.110.154
chainbits13/realfraction,TRIG-VSCODE-PROFILE,LOCAL-SHELL-FETCHER,MID-REMOTE-CHAIN,C2-808X,PROVEN,ACTIVE,configs.live -> ipregionchecker -> 172.86.86.84
rsaw409/DeFi,TRIG-APP-START-IMPORT,LOCAL-JS-NETWORK-LOADER,MID-HTTP-STAGE,C2-808X,PROVEN,ACTIVE,error-body stage -> 144.172.107.50
VPRoyal/bloxhq,TRIG-VSCODE-FOLDEROPEN,LOCAL-FAKE-ASSET-NODE,MID-ETH-RESOLVER,C2-NULLRECEIVER,PROVEN,ACTIVE,fake woff2 -> Ethereum tx.to -> 166.88.134.75
Isaac-1-lang/Real_time_chatting,TRIG-VSCODE-FOLDEROPEN,LOCAL-FAKE-ASSET-NODE,MID-ETH-RESOLVER,C2-NULLRECEIVER,PROVEN,EXTERNAL LEAD,BC representative
wpeventmanager/wp-event-manager,TRIG-VSCODE-FOLDEROPEN,LOCAL-FAKE-ASSET-NODE,MID-ETH-RESOLVER,C2-NULLRECEIVER,PROVEN,EXTERNAL LEAD,D representative
NEBOLISA/copilot-task,TRIG-VSCODE-FOLDEROPEN,LOCAL-FAKE-ASSET-NODE,MID-ETH-RESOLVER,C2-NULLRECEIVER,PROVEN,EXTERNAL LEAD,NEB representative
lanmower/coder,TRIG-VSCODE-FOLDEROPEN,LOCAL-FAKE-ASSET-NODE,MID-ETH-RESOLVER,C2-NULLRECEIVER,PROVEN,EXTERNAL LEAD,VMOBI representative
Sabbirnde/Nava,TRIG-APP-START-IMPORT,LOCAL-JS-NETWORK-LOADER,MID-BLOCKCHAIN-MULTIHOP,C2-NAVA,PROVEN,ACTIVE,JSONKeeper -> TRON -> BSC -> 138.226.247.152
SURUJ404/NFT-GAMEFY,TRIG-VSCODE-FOLDEROPEN,LOCAL-FAKE-ASSET-NODE,MID-DEADDROP-JSON,C2-UNRESOLVED,PROVEN,INACTIVE-WATCH,3KIH4 returned status 404
rony1235/Jp-Soccer,TRIG-VSCODE-FOLDEROPEN,LOCAL-JS-NETWORK-LOADER,unresolved,C2-UNRESOLVED,PROVEN,INDETERMINATE-C1-UNRESOLVED,folderOpen is the top-level trigger; npm install/start/prepare is subordinate handoff; current AUTH_API absent
